noq	
B	사계절이 뚜렷한 곳에서 자라는 나무는 매해 하나씩 나이테를 만들기 때문에 나이테를 세면 *a*{ㄴㅁㅇ ㄴㅇ_나무의 나이}를 알 수 있다. 그렇다면 나이테는 단순히 *a*{ㄴㅁㅇ ㄴㅇ_나무의 나이}를 알기 위해서만 활용되는 것일까? 그렇지 않다. 나이테는 현재 남아 있는 다양한 *a*{ㅁㅈ ㅇㅁ_목제 유물}들이 언제 만들어졌는지 그 *a*{ㅈㅈ ㅇㄷ_제작 연도}를 규명하는 데도 활용되고 있다.
B	나무의 나이테는 *a*{ㅇㅊ_위치}에 따라 크게 *a*{ㅅㅈ_심재}, *a*{ㅂㅈ_변재}로 구분된다. *a*{ㅅㅈ_심재}는 나무의 성장 *b*{초기_@말기}에 형성된 *b*{바깥쪽@안쪽_} 부분으로 *a*{ㅅㅈ_생장}이 거의 멈추면서 *a*{ㅈㅇ_진액}이 내부에 갇혀 색깔이 *b*{어둡게_@밝게} 변한 부분이다. *a*{ㅂㅈ_변재}는 *a*{ㅅㅈ_심재}의 *b*{시작@끝_}부터 껍질인 *a*{ㅅㅍ_수피} 전까지의 *b*{바깥_@안쪽} 부분으로 *a*{ㅁ_물}과 *a*{ㅇㅇㅂ_영양분}을 공급하는 *a*{ㅅㅈ ㅅㅍ_생장 세포}가 *b*{비활성화@활성화_}되어 있어 *b*{어두운@밝은_} 색상을 띠는 부분이다. *a*{ㄴㅁㅇ ㄴㅇ_나무의 나이}는 이 *a*{ㅅㅈ_심재}와 *a*{ㅂㅈ_변재}의 나이테 수를 합한 것이 된다.
B	그런데 *a*{ㄴㅁ_나무}의 *a*{ㄴㅇㅌ ㄴㅂ_나이테 너비}를 살펴보면 매해 그 *a*{ㄴㅂ_너비}가 동일하지 않다. 그 이유는 ‘*a*{ㅈㅎ ㅇㅅㅇ ㅂㅊ_제한 요소의 법칙}’에 의해서 나무의 *a*{ㅅㅈㄹ_생장량}이 결정되기 때문이다. 나무가 *a*{ㅅㅈ_생장}하기 위해서는 물, 빛, 온도, 이산화 탄소 등의 다양한 *a*{ㅎㄱ ㅇㅅ_환경 요소}가 필요한데 *a*{ㅎㄱ ㅇㅅ_환경 요소}들은 해마다 다르기 때문에 *a*{ㄴㅇㅌㅇ ㄴㅂ_나이테의 너비}도 변하게 된다. 그렇다고 모든 *a*{ㅎㄱ ㅇㅅ_환경 요소}가 *a*{ㄴㅇㅌㅇ ㄴㅂ ㅂㅎ_나이테의 너비 변화}에 영향을 주는 것은 아니다. 여러 *a*{ㅎㄱ ㅇㅅ_환경 요소} 중에서 가장 *b*{풍족한@부족한_} 요소가 *a*{ㄴㅇㅌㅇ ㄴㅂ ㅂㅎ_나이테의 너비 변화}에 가장 큰 영향을 주게 되는데 이것이 바로 *a*{ㅈㅎ ㅇㅅㅇ ㅂㅊ_제한 요소의 법칙}이다.
B	나무가 가장 *b*{풍족한@부족한_} 요소에 모든 *a*{ㅅㅁㅎㅈ ㅎㄷ_생물학적 활동}을 맞추는 것은 안전하게 생장하기 위한 전략이다. 만일 나무의 생장이 가장 *b*{풍족한_@부족한} 요소를 기준으로 이뤄진다면 생장에 필요한 *a*{ㅅㅁㅎㅈ ㅎㄷ_생물학적 활동}을 제한하는 요소가 *b*{줄어들어@많아져_} *a*{ㄱㅅ_고사}할 위험이 높아지게 될 것이기 때문이다. *a*{ㅈㅎ ㅇㅅㅇ ㅂㅊ_제한 요소의 법칙}은 *b*{모든 나무의 생장에 예외 없이_@나무의 수종에 따라 선택적으로} 적용되며, 그 결과로 동일한 수종이 유사한 생장 환경에서 자라면 *a*{ㄴㅇㅌㅇ ㄴㅂ ㅂㅎ_나이테의 너비 변화} 패턴이 *b*{상이하다@유사하다_}. 하지만 수종이 같더라도 지역이 다르면 *a*{ㅅㅈ ㅎㄱ_생장 환경}이 다르기 때문에 *a*{ㄴㅇㅌㅇ ㄴㅂ ㅂㅎ_나이테의 너비 변화} 패턴은 *b*{달라지게 된다_@동일하다}.
B	나이테를 활용하여 *a*{ㅁㅈ ㅇㅁ_목제 유물}에 사용된 *a*{ㄴㅁㅇ ㅂㅊ ㅇㄷ_나무의 벌채 연도}나 *a*{ㅎㄱ ㅈㄱ_환경 조건}을 추정하는 것을 *a*{ㅇㄹ ㅇㄷ ㅊㅈ_연륜 연대 측정}이라 하는데 이를 위해서는 *a*{ㄴㅇㅌㅇ ㄴㅂ ㅂㅎ ㅍㅌ_나이테의 너비 변화 패턴}을 *a*{ㄱㄹㅍ_그래프}로 나타낸 ‘*a*{ㅇㄹ ㅇㄷㄱ_연륜 연대기}’가 있어야 한다. 수천 년 살 수 있는 나무는 많지 않으나 아래 <그림>과 같은 방법으로 수천 년에 달하는 *a*{ㅇㄹ ㅇㄷㄱ_연륜 연대기} 작성은 가능하다.
img	*i*{모의고사/2024년/고1 3월 나이테.png&&small}
B	*b*{죽은@살아 있는_} 나무에서 *a*{ㄴㅇㅌ ㄴㅂ_나이테 너비}를 측정하면 정확한 연도가 부여된 *a*{ㅇㄹ ㅇㄷㄱ_연륜 연대기}를 작성할 수 있다. 다음으로 *b*{머나먼@오래지 않은_} 과거에 제작된 *a*{ㅁㅈ ㅇㅁㅇ ㄴㅇㅌ_목제 유물의 나이테}로 *a*{ㅇㄹ ㅇㄷㄱ_연륜 연대기}를 작성하여 이미 작성된 *a*{ㅇㄹ ㅇㄷㄱ_연륜 연대기}와 비교하면 *a*{ㅍㅌㅇ ㄱㅊㄴ ㄱㄱ_패턴이 겹치는 기간}을 확인할 수 있다. 그 기간은 지금 살아 있는 나무와 과거 유물에 사용된 나무가 *a*{ㅎㄲ ㅅㅈㅎㄷ ㄱㄱ_함께 생장하던 기간}이 된다. 이러한 방법으로 *a*{ㅂㄷ_보다} 과거의 목제 유물로 작성된 *a*{ㅇㄹ ㅇㄷㄱ_연륜 연대기}와 패턴 비교를 반복하면 수백, 수천 년에 달하는 나무의 *a*{ㅇㄹ ㅇㄷㄱ_연륜 연대기} 작성이 가능해진다. 이렇게 작성된 *a*{ㅈㄱㄱ_장기간}의 *a*{ㅇㄹ ㅇㄷㄱ_연륜 연대기}를 *a*{ㅍㅈ ㅇㄷㄱ_표준 연대기}라 하는데 우리나라는 현재 소나무, 참나무, 느티나무의 *a*{ㅍㅈ ㅇㄷㄱ_표준 연대기}를 보유하고 있다. *a*{ㅇㄹ ㅇㄷ ㅊㅈ_연륜 연대 측정}은 이 *c*{표준} *a*{ㅇㄷㄱ_연대기}와 *a*{ㅁㅈ ㅇㅁㅇ ㄴㅇㅌ_목제 유물의 나이테}로 작성한 *c*{유물} *a*{ㅇㄷㄱ_연대기}의 패턴을 비교함으로써 진행되고 그 방법은 다음과 같다.
B	먼저 *a*{ㅁㅈ ㅇㅁㅇ ㄴㅇㅌ_목제 유물의 나이테}에 *a*{ㅂㅈ_변재}가 있는지 확인해야 한다. 나무를 가공할 때는 벌레가 먹거나 쉽게 썩는 *a*{ㅂㅈ_변재}의 일부 또는 전체가 잘려 나가기도 하는데 만일 유물의 나이테에 *a*{ㅂㅈ_변재}가 없는 경우에는 *a*{ㅂㅊ ㅇㄷ_벌채 연도}를 추정할 수 없게 된다.
B	*a*{ㅂㅈ_변재}의 *a*{ㅈㅈ ㅇㅂ_존재 여부}를 확인한 후에는 *a*{ㅁㅈ ㅇㅁ_목제 유물}의 각 부분에서 나이테를 채취해 패턴이 *a*{ㅈㅊ_중첩}되는 부분을 비교하여 *a*{ㅇㅁ ㅇㄷㄱ_유물 연대기}를 만든 다음, 비교 대상으로 사용할 *a*{ㅍㅈ ㅇㄷㄱ_표준 연대기}를 정해야 한다. 이때 *a*{ㅇㅁ ㅇㄷㄱ_유물 연대기}와 *a*{ㅍㅈ ㅇㄷㄱ_표준 연대기}의 *a*{ㅅㄱㄷ_상관도}를 나타내는 *c*{t}값과 *a*{ㅇㅊㄷ_일치도}를 나타내는 *c*{G}값을 고려해야 하는데 *c*{100}년 이상의 기간을 상호 비교할 때 *c*{t}값은 3.5 이상, *c*{G}값은 65% 이상의 값을 가져야 통계적으로 *a*{ㅇㅇㅅ_유의성}이 있는 것으로 간주된다.
B	*a*{ㅍㅈ ㅇㄷㄱ_표준 연대기}를 정한 후에는 *a*{ㅇㅁ ㅇㄷㄱ_유물 연대기}와 *a*{ㅍㅈ ㅇㄷㄱ_표준 연대기}의 패턴을 비교하여 *a*{ㅈㅊㄷㄴ ㅂㅂ_중첩되는 부분}의 시작 나이테의 연도부터 마지막 나이테의 연도를 확정하여 *a*{ㅈㄷ ㅇㄷ_절대 연도}를 부여한다. *a*{ㅇㅁ_유물}의 나이테가 *a*{ㅂㅈ_변재}를 완전하게 갖고 있을 경우에는 마지막 나이테의 *a*{ㅈㄷ ㅇㄷ_절대 연도}가 *a*{ㅂㅊ ㅇㄷ_벌채 연도}가 된다. 하지만 *a*{ㅂㅈ_변재}의 *b*{안쪽@바깥쪽_} 나이테 일부가 잘려 나갔다면 마지막 나이테의 *a*{ㅈㄷ ㅇㄷ_절대 연도}에 잘려 나간 *a*{ㅂㅈ ㄴㅇㅌ ㅅ_변재 나이테 수}를 더한 값이 *a*{ㅂㅊ ㅇㄷ_벌채 연도}가 되는데 이때는 *a*{ㅅㄹ_수령}별 *a*{ㅍㄱ ㅂㅈ ㄴㅇㅌ ㅅ_평균 변재 나이테 수}를 참고한다. 비슷한 수령의 나무가 갖는 *a*{ㅍㄱ ㅂㅈ ㄴㅇㅌ ㅅ_평균 변재 나이테 수}에서 *a*{ㅇㅁ_유물}에 남아 있는 *a*{ㅂㅈ ㄴㅇㅌ ㅅ_변재 나이테 수}를 빼, 나무를 가공할 때 잘라 낸 *a*{ㅂㅈ ㄴㅇㅌ ㅅ_변재 나이테 수}를 구한다. 그리고 이를 마지막 나이테의 *a*{ㅈㄷ ㅇㄷ_절대 연도}에 더해 *a*{ㅂㅊ ㅇㄷ_벌채 연도}를 확정한다. 그 다음, *a*{ㅂㅊ_벌채}한 후 *a*{ㄱㄱ_가공}할 때까지 나무를 *a*{ㄱㅈ_건조}하는 일반적인 기간인 *c*{1}~*c*{2}년을 더해 *a*{ㅁㅈ ㅇㅁㅇ ㅈㅈ ㅇㄷ_목제 유물의 제작 연도}를 추정한다.
